Unit: $/MW,Distributed Solar Total Cap Cost,,,
2019,554045 ,,,
2020,540540 ,,,
2021,514465 ,,,
2022,488389 ,,,
2023,462314 ,,,
2024,436239 ,,,
2025,410164 ,,,
2026,384088 ,,,
2027,358013 ,,,
2028,331938 ,,,
2029,305862 ,,,
2030,279787 ,,,
2031,276537 ,,,
2032,273288 ,,,
2033,270038 ,,,
2034,266788 ,,,
2035,263538 ,,,
2036,260288 ,,,
2037,257039 ,,,
2038,253789 ,,,
2039,250539 ,,,
2040,247289 ,,,
2041,244040 ,,,
2042,240790 ,,,
2043,237540 ,,,
2044,234290 ,,,
2045,231040 ,,,
2046,227791 ,,,
2047,224541 ,,,
2048,221291 ,,,
2049,218041 ,,,
2050,214791 ,,,
