Year,heating,cooling & ventilation,envelope,lighting,appliances,other
electricity (BTU),1.42E+13,5.21E+13,0,4.48E+13,6.53E+13,0.00E+00
coal (BTU),7.79857E+13,0,0,0,0,6.14758E+13
natural gas (BTU),8.15E+11,0.00E+00,0,0,0.00E+00,6.43E+11
petroleum diesel (BTU),0.00E+00,0,0,0,0.00E+00,0.00E+00
heat (BTU),0,0,0,0,0,0
biomass (BTU),1.03E+14,0,0,0,0,8.11626E+13
kerosene (BTU),0,0,0,0,0,0
heavy or residual fuel oil (BTU),0,0,0,0,0,0
LPG propane or butane (BTU),1.31E+13,0,0,0,0.00E+00,1.04E+13
hydrogen (BTU),0,0,0,0,0,0
