Fraction of Heat from CHP (dimensionless),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664
coal,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664
natural gas,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664
biomass,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664
petroleum diesel,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664
heat,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664
crude oil,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664
heavy or residual fuel oil,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664
LPG propane or butane,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664
hydrogen,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664
