Fuel Price ($/BTU),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Transportation Sector,8.22E-06,1.11E-05,8.40E-06,8.59E-06,9.85E-06,1.12E-05,1.13E-05,1.16E-05,1.22E-05,1.23E-05,1.32E-05,1.36E-05,1.33E-05,1.36E-05,1.38E-05,1.43E-05,1.39E-05,1.40E-05,1.42E-05,1.44E-05,1.46E-05,1.48E-05,1.49E-05,1.51E-05,1.56E-05,1.59E-05,1.59E-05,1.66E-05,1.67E-05,1.68E-05,1.70E-05,1.74E-05,1.76E-05,1.79E-05,1.81E-05,1.84E-05,1.86E-05,1.89E-05,1.91E-05,1.94E-05,1.97E-05
Electricity Sector,8.22E-06,1.11E-05,1.18E-05,1.30E-05,1.43E-05,1.52E-05,1.56E-05,1.62E-05,1.67E-05,1.69E-05,1.71E-05,1.76E-05,1.77E-05,1.80E-05,1.82E-05,1.83E-05,1.82E-05,1.82E-05,1.84E-05,1.86E-05,1.87E-05,1.90E-05,1.91E-05,1.91E-05,1.91E-05,1.91E-05,1.90E-05,1.93E-05,1.95E-05,1.96E-05,1.98E-05,1.97E-05,1.98E-05,1.99E-05,2.00E-05,2.01E-05,2.02E-05,2.04E-05,2.04E-05,2.05E-05,2.06E-05
Residential Buildings Sector,8.22E-06,1.11E-05,8.64E-06,1.09E-05,1.35E-05,1.57E-05,1.71E-05,1.86E-05,1.96E-05,1.98E-05,2.03E-05,2.11E-05,2.12E-05,2.18E-05,2.21E-05,2.25E-05,2.23E-05,2.23E-05,2.27E-05,2.31E-05,2.31E-05,2.38E-05,2.41E-05,2.43E-05,2.46E-05,2.51E-05,2.55E-05,2.59E-05,2.62E-05,2.62E-05,2.65E-05,2.71E-05,2.74E-05,2.77E-05,2.80E-05,2.83E-05,2.86E-05,2.89E-05,2.93E-05,2.96E-05,3.00E-05
Commercial Buildings Sector,8.22E-06,1.11E-05,8.64E-06,1.09E-05,1.35E-05,1.57E-05,1.71E-05,1.86E-05,1.96E-05,1.98E-05,2.03E-05,2.11E-05,2.12E-05,2.18E-05,2.21E-05,2.25E-05,2.23E-05,2.23E-05,2.27E-05,2.31E-05,2.31E-05,2.38E-05,2.41E-05,2.43E-05,2.46E-05,2.51E-05,2.55E-05,2.59E-05,2.62E-05,2.62E-05,2.65E-05,2.71E-05,2.74E-05,2.77E-05,2.80E-05,2.83E-05,2.86E-05,2.89E-05,2.93E-05,2.96E-05,3.00E-05
Industry Sector,8.22E-06,1.11E-05,9.05E-06,1.19E-05,1.50E-05,1.76E-05,1.96E-05,2.18E-05,2.27E-05,2.31E-05,2.36E-05,2.43E-05,2.45E-05,2.49E-05,2.53E-05,2.56E-05,2.54E-05,2.54E-05,2.58E-05,2.62E-05,2.61E-05,2.68E-05,2.71E-05,2.73E-05,2.76E-05,2.80E-05,2.85E-05,2.88E-05,2.90E-05,2.91E-05,2.93E-05,2.98E-05,3.01E-05,3.04E-05,3.07E-05,3.10E-05,3.12E-05,3.15E-05,3.18E-05,3.21E-05,3.24E-05
District Heating Sector,8.22E-06,1.11E-05,9.05E-06,1.19E-05,1.50E-05,1.76E-05,1.96E-05,2.18E-05,2.27E-05,2.31E-05,2.36E-05,2.43E-05,2.45E-05,2.49E-05,2.53E-05,2.56E-05,2.54E-05,2.54E-05,2.58E-05,2.62E-05,2.61E-05,2.68E-05,2.71E-05,2.73E-05,2.76E-05,2.80E-05,2.85E-05,2.88E-05,2.90E-05,2.91E-05,2.93E-05,2.98E-05,3.01E-05,3.04E-05,3.07E-05,3.10E-05,3.12E-05,3.15E-05,3.18E-05,3.21E-05,3.24E-05
LULUCF Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Geoengineering Sector,8.22E-06,1.11E-05,9.05E-06,1.19E-05,1.50E-05,1.76E-05,1.96E-05,2.18E-05,2.27E-05,2.31E-05,2.36E-05,2.43E-05,2.45E-05,2.49E-05,2.53E-05,2.56E-05,2.54E-05,2.54E-05,2.58E-05,2.62E-05,2.61E-05,2.68E-05,2.71E-05,2.73E-05,2.76E-05,2.80E-05,2.85E-05,2.88E-05,2.90E-05,2.91E-05,2.93E-05,2.98E-05,3.01E-05,3.04E-05,3.07E-05,3.10E-05,3.12E-05,3.15E-05,3.18E-05,3.21E-05,3.24E-05
